义演	benefit
合成力	resultant
风俗志	customary
行贿	contract
〈古〉午夜	noon
[语言]辅音群	cluster
宣判	doom	sentence
刑事被告	prisoner
云幕高度	ceiling
分析	analysis
遗赠的财产	devise
药房	pharmacy	chemist
铁制品	iron
添入物（尤指一页印刷品图中插入或套印的小图）	insert
脚镣	iron
气喘	pant
农场主	farmer
卫星国	satellite
局势等）紧张	tension
悲痛	grief	sorrow	distress
署名	signature
[无线电]回波	echo
比例（尺）	scale
玻璃制品	glass
[军]猛攻	storm
几何学著作	geometry
最高分	possible
有影响力的人物	influential
有权威的书	bible
丢弃	discard
烟草制品	tobacco
反馈	feedback
部属	subordinate
对立的事物	other
文明	civilization
奥妙	depth
情节	argument
鞭子	lash	whip
生命	life
君主统治时期	reign
相似点	resemblance
电话窃听	tap
暴徒	bully	mob	tough
老富豪	jolly
来稿	contribution
[复数]当权者	authority
最高限度	ceiling	roof
飞机等的）大群	cloud
战争	battle	sword	war	warfare
（拉拉队鼓动运动员的）呼喊声	yell
宇宙机械论者	physicist
扩音器	amplifier	loudspeaker	microphone
流行音乐	pop
牲畜	animal
扳手	wrench
后卫	defence
跳伞	jump
雕像	statue
串联	series
枯燥无味的话	prose
几何平均	mean
（日、月等的）升起	rise
手帕	handkerchief
惊吓	fright	scare
教师	teacher
畸胎	monster
[橄榄球]长传	bomb
应唱圣歌	response
蘑菇状物	mushroom
[医]节律	rhythm
受愚弄的人	fool
负债情况	debt
趣味	interest
以某种方式待人的人	dealer
钻孔机	punch
实验室	lab
餐具盒	canteen
有	possession
月	month
触摸	feel	touch
（感情等的）爆发	hurricane
广度	width
优越（性）	superiority	advantage
（美国）东部地区的人	eastern
校长	president
资本主义（制度）	capitalism
突出的范例	beauty
配置	disposition
人行道	pavement	walk
南部人	southern
学院	school	academy	institute
[陆]二等兵	private
证券	bond	obligation
胡椒	pepper
进度表	schedule
侮辱	despite	slap	abuse	insult
宗教法官	ordinary
加农炮	cannon
相反	inverse
宣传者	missionary
[多用于英国]行李箱	boot
银河	galaxy
保证人	guarantee
（个人的）政见	politics
主人（尤指男性）	master
九十年代	ninety
细目	detail	particular	topic
〈美〉刻苦用功的学生	grind
（用砖石）铺（地）	pave
监禁	prison
展览	show	display	exhibit	exhibition
角度	viewpoint
一致	concert	consensus	correspondence	harmony	accord	accordance	agreement	coincidence
高原	plateau
企图	essay	shot
烧伤	burn
（工具	gang
三个一组	triple
号外	extra
弗赖伊（姓氏）	fry
货物	freight	goods	merchandise
度量标准	metric
度量衡标准	standard
古风	antique
现款	fund	ready
新观念	innovation
登陆处	hard
理论	theory
成衣工	tailor
大学的学生和教师	gown
一炉	batch
（货物的）一宗	parcel
〈比喻〉保护物	umbrella
敲平的人	flatter
洗发香波	shampoo
（人寿）保险	assurance
代替	replacement
夏天	summer
维修状态	repair
投递	delivery
飞机库	garage
残骸	remain	remains
（人或动物身上的）硬块	knot
舅父	uncle
摇摆不定的事态（或局面）	pendulum
（知识、兴趣等的）广泛	breadth
（动植物的）克隆	clone
提案人	sponsor
砖	brick
调羹	spoon
好的判断力	wisdom
银幕	screen
砌	opera
砍	chop
聚居人群	colony
[机]冲程	excursion
退去	exit
女侍者	waitress
工蚁	worker
精兵	effective
生计	bread	life	living	keep
打底	render
盐等的）颗粒	grain
脚步（声）	footstep
调查（表）	survey
灰烬	ash
（大学、银行等规模大的）机构	institution
具体物	concrete
（烟、云等的）圈状物	wreath
资料库	database
湮没	silence
侍者	attendant	waiter
棋	chess
润滑油	grease
茶杯托	saucer
吸入物	suck
[物理学]质量	mass
摇摆不定	stagger
斗篷	cape	cloak
继承顺序	succession
[美]大学概况一览	catalog
忠实伙伴	comrade
汽车	car	motor
屋面斜沟	valley
精髓	core	essence
熨斗	iron
妈妈	mother
房屋	building	housing	roof
储备	fund	reserve
（网球等）球拍	racket
收缩	shrink
查阅者	consultant
坏蛋	beast
[军]传令下士	orderly
极糟的食物	poison
十月	October
（像猫头鹰一样）机警的人	owl
（衣袖等的）腕部	wrist
弯腰	stoop
阴谋	conspiracy	scheme	intrigue
左	left
有极高智力的人	intellectual
指导	direction	guidance
女地主	landlady
闹铃	alarm
十五个人组成的橄榄球队	fifteen
计算机硬件	hardware
会合点	junction
侍从	bachelor	dependent
生产量	make
共和政体	republic
冒泡	bubble
进深	depth
比率	proportion	rate	ratio	relation
首领	boss	captain	chief	cock
潜随	stalk
[逻辑学]蕴涵	implication
著作家	author
道德心	conscience
排球（运动）	volleyball
管辖区	region
一块地	plot
纠葛	difficulty
起点	nucleus	origin	start
汽油	gas	gasoline	petrol
否认	contradiction	denial	no
怜悯心	bowel
愿望	desire	dream	mind
特别喜欢的人（或物）	favorite
[复数][美国口语]毫无价值的东西	bean
里面	within	inner	inside	interior
立法	legislation
海报	poster
咳嗽	cough
[军]炮台	battery
红衣主教	cardinal
乐队	band	music
社会生态学	ecology
慢跑	jog
灯泡	lamp
便利设施	convenience
鞭痕	whip
凉快的地方	cool
隔阂	wall
（钢琴等的）琴键	digital
（想像	riot
[建筑]屋顶排水沟	valley
生活的）途径	path
咬文嚼字	heroic
[地]岩颈	neck
（电台或电视）信息	transmission
轨道	orbit	rail	track
身材	shape
听觉	ear	hearing
谢意	gratitude
牛肉饼	hamburger
连接	conjunction	connection	join	junction
工厂]的工会代表	steward
惯以美妙的歌声引诱水手	siren
好运	joy	luck
[解剖学]肿块	bulb
液体喷雾	mist
[军]集合号	assembly
[天]双星中较小较暗的一个	secondary
论述	discourse
（总称）机器	machinery
战胜	defeat
〈口〉知晓	know
反论	paradox
宗复活节	Easter
法定权利	legal
骆驼	camel
产物	child	daughter	offspring
[语]原级形容词	positive
有瘾的人	addict
保护者	parent
同盟条约	alliance
夸张的言行	heroic
（可分类	particular
提及	mention	reference
吉他	guitar
论战	combat	controversy	war
窍门	wrinkle
美小手推车	wagon
学科	discipline	knowledge	school	science	subject
[电]分路迂徊	bypass
保险柜	safe
抨击	attack
系带	lace
[数]正量	positive
[生态]群落	community
铜管乐器	brass
装备	equipment	tackle
出口	outlet	access	exit	export
一杯或一份酒	drink
自选节目	voluntary
狐皮	fox
红外线	infrared
环形道	circuit
想像力	fancy	vision
交叉线	intersection
出发	offset
瀑布似的东西	waterfall
[语]比喻	comparison
救济品	salvation
继承物	heritage
选择能力	option
运弓法	bowing
储蓄	deposit
〈口〉精神	steam
公狗	dog
趾甲	nail
上当者	victim
成分	component	constituent
学业	school
钻子：一种钻凿用工具	bore
野餐郊游	picnic
梨（树）	pear
大减价	slaughter
幕布	curtain
[法]审讯	trial
修养	civilization	culture
（马车的）煞车	slipper
（军舰等）巡逻	cruise
最精彩的部分	highlight
土豆	potato
陆军少校	major
记入借方的款项	chalk
弓鳍鱼	hound
枕套	bag
全体员工	personnel
失窃案例	theft
分歧	gap	rent	split	gulf
出卖	sale
紫袍	purple
现象	phenomenon
愉快	cheer	pleasure
体验	taste	experience
拒绝接受	denial
（保险的）解约	surrender
术语	language	term
复述	rehearsal
某种模糊的或不清楚的东西	obscure
业务报酬	fee
英级限协定	threshold
自由主义者	liberal
袖套	sleeve
专题讨论会	symposium	workshop
〈口〉笔迹	fist
苍白	ash
立体声	stereo
平台	platform
嵌接	scarf
合作社	cooperative
王座	throne
经常重复的评价（或抱怨）	refrain
嘈杂声	noise	noisy	sound
坚决	resolution
肮脏	mess
比数	relation
水闸	lock
前额	brow
附件	enclosure	accessory
邮船	packet
油漆	painting
下期节目预告	underline
市场占有率	share
技艺	craft
一群罪犯	mob
[音乐]终止	fine
水平	level	plane
失事	wreck
壁橱	closet
高尔夫球	golf
三角板	triangle
巨兽	giant
碰运气的事	lottery
[信]信号瞬时值	sample
教士	clerk	clergy
（活动或能力的）余地	scope
（集工作、竞赛、娱乐为一体的）聚会	bee
资产	asset
狂奔	tear
灯心绒裤	cord
微小颗粒	molecule
[数学]度量	metric
弹丸	bullet	pill
皇后	queen
[宗]教徒	church
排练	rehearsal
少女	maid	adolescent
情感或感情	affection
天花板	ceiling	overhead
涌出	flush
防护罩	boot
弧线	curve
大国	power
兔子	rabbit
轻软舞鞋	pump
进攻	assault	attempt	offensive
黄褐色	tan
毛发	hair
防染剂	resist	resistant
马具	harness
期末考试	final
悬崖	cliff
力气	might
市]	strike
表示尊敬）大人	lord
翻倒	turnover	upset
坦白	admission
浮有冰淇淋的饮料	float
一百	hundred
胶接剂	cement
海运业	marine
网状物	network	web
色彩	color	paint
红色	blush	red
昏厥	faint
资历较深的	senior
油罐车	tanker
瞪眼	glare
推论	conclusion	consequence	inference
〈古〉旅客招待所	hospital
铅框	leading
剑术	fence
（书信或贺卡等中的）祝愿	wish
热带	tropic
木材	log	lumber	timber	wood
〈俚〉交通工具	bucket
鬼魂	presence
浓雾	soup
领导的才能或能力	leadership
尤指关上或断裂的声音)啪嗒声	snap
桶板	lag
学术报告会	symposium
猛仰头（尤指表示恼怒或不耐烦）	toss
静修	retreat
模糊想法	idea
食物柜	cupboard
民主主义	democracy
短暂的风暴	flaw
迷信行为	superstition
原因	reason	root	source	why	cause
风纪扣扣眼	eye
（精神	tension
友情	friendship
等级	bracket	chop	class	grade	rank	rate
河床	bed
遗物	survival
（一）套	set
黄铜	brass
参考书	reference
建造	construction
停止的位置	lie
大学	college
黄昏	dark	dusk	evening	sunset
无聊的事物	vanity
职业	business	career	employment	job	occupation	profession	vocation
（一笔）交易	deal	transaction
立方	cube
估计不足	underestimate
期限	term
接合处	join	joint	seam
接待	reception
桶	barrel	pail	tub
桨	oar
船队	fleet	navy
用作伪装的东西	disguise
体系	scheme	structure	system
有成功希望的人	hopeful
桥	bridge
环境判定	orientation
严重性	gravity
[棒]三垒安打	triple
无意义	absurd
冲压机	punch
正结果	end
幼儿	infant
年纪	year
（长篇）小说	novel
雄伟	majesty
跛行	limp
桃	peach
作曲	composition
讲师	reader
框	rim
预备品	reserve	spare
一茬植株	growth
农业生产	agriculture
〈口〉牌号	chop
英语字母表中第九个字幕	I
[航海]宽叶短桨	paddle
无聊的议论	prose
琐碎	detail
杂交品种	cross
拥护共和政体者	republican
丢弃的食物	garbage
直觉力	intuition
源泉	well
敌军	enemy
〈口〉有产者	have
强国	power
学士	bachelor
十九岁	nineteen
新颖小巧而价廉的物品	novelty
同等的人	peer
殖民地居民	colonial
[化]分馏	fraction
桡骨	radius
间断	break
演讲	lecture	speech	address
雷管	fuse
地球的半球	hemisphere
驴	donkey
克制	denial	restraint
对话体	dialog
先例	precedent	example
附录	appendix
选择（的自由）	option
碗	bowl
（常指供观赏的）花	bloom
测量	measure	survey
[植]菊科植物	composite
杰出的事	masterpiece
编造	fiction
马	horse
电报机	telegraph
适当的时机良机	opportunity
沙子	sand
构图	composition
被传授初步知识的人	initiate
激情	flame	glow	passion
少年（青年）时期	youth
[金融]承兑	acceptance
碰	touch
碾	grind
盒）	case
潜水	dive
正餐	dinner
[计]显示器	monitor
哑巴	mute
金额	sum
（大专院校的）助教	tutor
（色彩的）协调	accord
祖宗	ancestor
（某地的）沿革	history
〈非〉莽撞无礼	sauce
数学	maths
侨民	colony
五月	May
遗址	monument	remains	site
（尤指）内服药	medicine
淡味麦芽啤酒	mild
数字	digital	figure
灯饰	lantern
导言	introduction
山岳	mountain
美洲印第安武士	brave
舞弊案件	scandal
加法运算	add
盘旋	hover
漫游	travel
动身	start
[数]长方形	rectangle
相对性	relativity
干涸	dry
驱动程序	driver
[军]行军梯队	serial
尖酸刻薄	vinegar
（染色体上基因排列的）遗传图	map
（某些美国大学的）校长	chancellor
全部课程	curriculum
美政治贩	politician
选项	option
谈判	treaty
[语]冠词	article
感谢	gratitude	thank
首饰	jewelry
图案	design	device	pattern
后援组织	sponsor
学会会员	academic
干涉	interference
〈比喻〉不愉快的事	funeral
校订者	editor
马戏表演（常在大帐篷里进行）	circus
弓纬	bowing
阅读	read	reading
空想家	poet
一丝丝	hair
便签本	pad
繁忙的活动	rush
（质问等的）连发	torrent
最低消费	minimum
热闹场所	resort
擦布	cloth
扣留	retention
权衡	weigh
第三	third
香槟酒	champagne
[土木工程]腰槽	gain
牧羊人	shepherd
（病人受检查时躺的）长榻	couch
最大限度	most	utmost
平行线（面）	parallel
遗体	remain	remains
（工资以外）另行供给的膳食[住宿等]	found
访问者	visitor
男孩	boy
（一排）烟囱	stack
纪念仪式	memorial
原动力	motor
生物学	biology
手电筒	torch
爪形器具	claw
名流	celebrity	lion
口医学博士	physician
魔法	glamor	magic
强调成份	intensive
香水	perfume
有机体	organism
法律文件	instrument
着色	painting
摇动	shake
咖啡馆	cafe
伸展性	give
道德	morality
家畜	stock
酷爱	passion
殖民地	plantation
修订本	revise
畏缩	shrink
间隔	gap	space	interval
隆隆的响声	thunder
（艺术等）完整	unity
[数]交叠	overlap
经验丰富的人	veteran
肥料	fertilizer	soil
极限	limitation	margin	utmost
衣橱	wardrobe
与定冠词the连用	eternal
危害	harm	mischief
听力所及的距离	hearing
竞争者	competition	rival
妄想	bubble	obsession
（主教）邸宅	palace
班级	grade
深赤褐色	liver
百分之一	percent
[语]过去时	past
丢脸的人（或事）	disgrace
〈侮辱〉青蛙佬	frog
惊叹	awe
开价	offer
破门盗窃者	burglar
盟约	bond
有罪	guilt
社交	commerce	congress
地质学的著作	geology
微风	breeze
波浪等的）冲击	buffet
迁就	concession
爵士乐爱好者	cat
六月	June
混杂的事物[人群]	mixture
爆发	blaze	burst	flare	torrent	access	explosion	rash
痛恨	horror
劳务杂役	fatigue
小心	caution
通讯员	correspondent
同时存在	coincidence
种子	seed
浪花	spray
习俗	convention
起居室	living-room
粉红色的葡萄酒	rose
[航]节(=浬/小时)	knot
（吹奏乐器、哨子、汽车喇叭等突然发出的）响声	blast
旋转	revolution	twist	wheel	whirl
杯子	cup	mug
巡查	patrol
游民	tramp
古文明国的国民	ancient
个人简介	biography
挡风物	shade
锈	rust
减少	decrease	ebb	loss	reduction
峡谷	valley
锁	lock
偷盗	theft
锚	anchor
逻辑学	logic
被忽略的状态	neglect
减小	decrease
九月	September
人造肥料	artificial
控制板	panel
盎司	ounce
（用于某些国家的政党名称）国民大会	congress
更多	more
（膀胱或肾脏中的）结石	stone
推理小说	mystery
锡	tin
构架	framework
切望	anxiety
涂墙泥	plaster
衣物和装备	kit
（缝合伤口的）缝线	stitch
接受	embrace	acceptance
（社会）势力	force
物品	article
名誉	celebrity
练习	practice	exercise
美学标准	aesthetic
同“atone%27sworst.atone%27sworst”	worst
坚果	nut
上等产品	extra
会议记录	minute	proceeding
非晶体锆黑色	jargon
厌憎	dislike
口人类	christian
桨柄	loom
质量	quality
贷款	loan
棕榈树	palm
电力公司	generator
自动操作	automation
高手	artist	expert
（郊外的）新式住宅	cottage
依赖他人者	dependent
臭味	smell
出席	presence	attendance
船头	bow	bow	fore
免费邮寄权	frank
发觉	discovery
保健	health
倒退	reverse
歌曲	melody	song
不可思议的魔力	magic
[医学]消耗性疾病	consumption
弹夹	cassette
内行	sharp
烙印	brand
[乐]机理	mechanism
牲畜饲养	pasture
轻松的工作	picnic
取回	reclaim	retrieve
幽灵	ghost	shadow	soul
（尤指身体部位）凸起的形状	swell
礼服	dress	robe
无性繁殖系	clone
[数]单位数	unit
引言	introduction
营养	bread	nutrition
油布	waterproof
预习预习时间	preparation
（车辆或机器基座的）挡板	skirt
幻灯片	slide
读者	audience	audience	reader
周游	cruise
姑娘	bird	girl	bride
灶	oven
[语]反语法	irony
文字	letter
灰	ash
灯	lamp
敌对物	hostile
火	fire
[物]能量	energy
（教会的）权威	obedience
牺牲	blood	cost	sacrifice
智力	mind	intelligence
突出	emphasis
力量	might	muscle	power	strength	agency
烛光	candle
非传统（或他择性）生活方式的追随者（或鼓吹者）	alternative
主任	director
热度	heat
俚家畜	animal
监督者	director
车间	department	workshop
书目提要	bibliography
[乐]音阶	degree
坏话	tale
小人物	peanut	nobody
（物体的）飞行	flight
茶碟	saucer
所爱之物	love
[法]被监护人	pupil
前兆	beginning
谎话	lie
算术	arithmetic	figure	sum
这里	here
摇滚乐	rock
发育	vegetation
速记	shorthand
正态化	normalization
托盘	tray	waiter
[法]复审	review
方程式	equation
图画	drawing	picture
资本（私人占有和生产盈利）的支配地位	capitalism
机器的运转部份	machinery
非正式会员	associate
槽	chase
登	mount
胸腔	chest
[地质学]层	horizon
山谷	hollow	valley
药丸	pill
雪花	snow
剩余（或多余）的量	over
此刻	instant
表格	form
眉毛	brow	eyebrow
橡胶套鞋	rubber
一集	episode
棕黄色	tan
酱汁	sauce
友善	friendship
素描	sketch
胶料	size
欢迎	reception	salute	welcome
投影仪	projector
落潮	ebb
状况非常糟糕的车辆（或建筑物等）	wreck
（织机的）梭子	shuttle
（口语）烦恼	fry
饰针	pin
（指较远的人或事物）那	those
功课	homework	lesson
牛奶及乳品业	dairy
讨厌的东西（人	nuisance
信托	trust
外侨	alien
猎物	kill
不注意	absence
出席人数	attendance
君权	empire
办公用品	stationery
带电体	electric
少量	drop	handful	lick	pinch	somewhat	sprinkle	trifle	inch
雏形	prototype
断定	conclusion
突然发生	outbreak
公牛	bull	ox
冲撞	dash
油轮	tanker
引信	fuse
油画（布）	canvas
潜在性	possible
排放	release
扁板	paddle
根源	beginning	origin	parent	root	source
银鲤	bleak
推力	thrust	tug
俚及其可笑的事物	howl
螺栓	bolt
成功	joy	panic	prosperity	success	victory
勇气	courage	gut	nerve
出票人	drawer
[宗]主任牧师	dean
丑名	scandal
杂物	litter
屏风	screen
热恋	passion
物种	species
乐曲组合	mix
郊区	outskirts	suburb
成交量	turnover
干练的人	manager
（某地或某历史时期的）服装	costume
外国人	foreigner	alien
音乐家	musician
批评	criticism	exception
蠕虫	worm
旧时价值为一镑的英国金币	sovereign
（栖息在某地区的）动物	inhabitant
数因子	factor
游行	parade
未成年人	minor	pupil	infant
优势物种	dominant
巡回演出	tour
（搭档）演出短节目的演员	act
（车辆发动机的）阻风门	choke
小餐厅	cafe
旅客名单	manifest
本利之和	amount
气质	blood	habit	vein
配偶〔男女任何一方〕	mate
令人高兴的事	pleasure
令人愉快的事	cheer
附加物	appendix	plus	extra
接待处	reception
[造船]（打捞用的）浮筒	camel
宪法	constitution
（器官、皮肤、头发等的）移植	transplant
临时协定	interim
门廊	porch	stoop
平常话	commonplace
洗涤槽	sink
结束	close	ending	finish
专科学校	academy
航空器	aircraft
落锤	tilt
一段哭泣	weep
关于行路（或驾驶）的指示	steer
爆震声	knock
漠视	disregard
棒球（投手投出的）坏球	ball
保养	maintenance	keep
质朴	simplicity
更好者	better
尔虞我诈的环境	jungle
战略	strategy	tactic
顶点	climax	height	noon	pink	pole	summit	ultimate
批评家	critic
市政（或地方管理）服务机构	council
相遇	encounter
危险	danger	hazard	risk
意外的发现	revelation
估量	appraisal
增进	improvement
调节器	governor
炸弹	bomb
技巧	mechanism	skill	technique
仆人	servant
陆地	continent	earth	land
断食	fast
偿还数额	refund
美丽的事物	fair
血缘关系	relationship
王国	kingdom	realm
图下说明文字	underline
[电子学]触发器	trigger
妒忌	envy
台柱	pillar
装饰瓶	vase
奋斗	struggle
登机门	gate
精神包袱	baggage
准确（性）	precision	accuracy
调动	transfer
眼眶	orbit
（文学、戏剧）（情节、时间和地点的）统一性	unity
鸟语	song
[生]组织	tissue
用蒸汽工作的人	steamer
[计]输出信号	output
极度缺乏	famine
带子	strap	string	tape
研究会	workshop
大炮	cannon
椅子的背罩	tidy
猎狐运动（尤其英式英语）	meet
her等连用]（某人）所有的一切	all
候补者	alternate
独木舟	canoe
打算	notion	plan
点头同意	nod
未得分的投球	maiden
动词结构	verb
缝隙	crack
人性	humanity
性活动	sex
冬天	winter
（用于某些地名）圆形广场	circus
门第	kin
外科手术	surgery
[亦用复数][口语][通常用于否定结构]丝毫	bean
电烫发	permanent
（装在飞机上的）雷达电子干扰仪	carpet
复活节假期	Easter
特点	feature	flavor	particular	trait
机器助手	assist
社会	public	society
周相	phase
竞争	competition	struggle	tug
手提箱	briefcase
[复]口才	tongue
改变宗教信仰者	convert
（合成）橡胶	rubber
爬行动物	reptile
生产能力	capacity
矮木凳	cricket
复奏	repetition
被动语态	passive
油[水]箱	tank
细节	specific
螺旋状物	curl	screw
掠夺	rape	spoil
性	sex
支流	branch	affluent
舅妈	aunt
理事	director	manager	steward
幻灯机	projector
有…类型的血的	blood
皮革的）嵌接	scarf
几何学	geometry
愚蠢的事	sin
市价	currency
入场券	ticket
苛求	criticism
舆论	consensus
拉丁美洲人	Latin
法官	bench	judge	justice	ordinary
城镇居民	town
（尤指风的）呼啸声	moan
小屋	cottage	hut
沐浴	bath
信号机	telegraph
人口普查	census
全部含义	amount
威士忌酒	whisky
自找苦吃的人	victim
小山	hill
机活塞	piston
序列	sequence
头人	elder
四十几	forty
兴旺	health	prosperity	up
雌（象	cow
有遮盖的双人座椅	cosy
庄稼	plant
恋爱	romance
（学校、工厂等的）传达室	lodge
拱门	arch
同情	pity	sympathy	compassion
肘托	console
灵魂	soul
立体声系统	stereo
梯子	ladder
呐喊	shout
食道	canal	swallow
甜点	dessert
大学生	student	academic
脚本	script
全领域	universe
防备	precaution
回味（葡萄酒）	finish
透明	clarity
岩石	rock
名词性词	nominal
伴侣	company	associate
餐具	dish
重要性	consequence	gravity	matter	significance	value	import	importance
台词	word
红玉	ruby
传奇人物	legend
初步	alphabet
固定物	stationary
概率	chance	probability
[语]时	tense
民众	herd	mob	democracy
麦酒	beer
最适宜条件	optimum
售货棚	booth
大浪	surge
笑	laugh	laughter
笔	pen
砖块状物体	brick
非正式>性感的人	talent
标点	point
用力打	wipe
遮光器	shutter
细情	particular
（某事、戏剧、小说等的）背景	setting
吮吸	suck
[乐]基音	fundamental
耀眼	dazzle
地方法官	magistrate
生物	being	biology	creature	existence
[解]运动肌	motor
枕头	pillow
赘疣	tumour
仪表	clock	presence	style
石膏	plaster
下列	following
袜的）足尖部	toe
下一位	next
讨厌的人	bother
海关	custom
倡议者	sponsor
藏书楼	library
雌禽	hen
中央	middle
帐幕之物	curtain
（伤害的）赔偿	satisfaction
[乐]停止	silence
苍蝇	fly
最高纪录	record
峰	ridge
高飞	soar
服务员	servant	waiter	boy
提神物	refreshment
断枝	trash
停车场	park
否决票	no
口许多	heap
光	light
破坏手段	destruction
破产	crash	failure
回归线	tropic
后面	back
[动]世代交替的无性期的个体	nurse
烤	bake
可变因素	variable
小湖	mere
热	heat
辩护	defence
（报章杂志中的）文章	article
阅历	experience
焊接缝	shut
说法	phrase	version	expression
粮仓	barn
恐怖的缘由	terror
舰队	fleet
狮子	lion
（两党或多党）联合政府	coalition
纵队	column
于…类型的	type
工资	pay	wage
运货马车	cart
一世纪	century
有脚的架	horse
流通时间	currency
赌博	bet	play
清样	revise
原料	material	raw	stuff
安装	installation
猛长	jump
麦克风	microphone
[计算机]库管理程序	librarian
吃惊	startle	amaze
（对国家、地区、机构等的）管理权	control
新闻提要	headline
体温	temperature
烦扰	bother
肩膀	shoulder
消逝	glide
（比喻）飞快	gallop
定位	location	orientation
水罐	canteen
逗留	stay	visit
频繁性	frequency
争吵	argument	quarrel	static	strife	fuss
国民	citizen	country	nation
招贴画	poster
撞车事故	crash
竞卖	auction
居所	shelter
使人痴迷的人（或物）	obsession
妖冶而危险的女人	siren
预防措施	precaution	insurance
流浪汉	tramp	tramp
垂直位置	vertical
手脚能够到的范围	reach
器官	apparatus	organ
诞辰	birthday
[建]覆道	corridor
单纯的人：不世故的人	primitive
轻触	kiss
喧闹声	noise
英街道清洁工	orderly
预兆	sign	signal
油膏	grease
局面	situation
改革论者	progressive
大气层	atmosphere
前线	front
人称代名词	personal
]伊斯特尔绰号	Easter
对话	dialog
农家	farm
一期	number	installment
电视机	tube
[虫]腹部	abdomen
喜剧体裁	comedy
轻视	contempt	underestimate
羊栏	fold
和谐的一致	sympathy
法令	statute
后期	afternoon
空调设备	air-conditioning
捆绑	bind
拖曳的行为或情况	tow
十四点钟	fourteen
[法]移交	tradition
发源地	cradle
（某人的）命运	fortune
（隐修院）会长	prior
十年间	decade
证章	medal
蹦跳	hop	skip
基本	basic	fundamental
著名的人物	name
擦亮	polish
包围	embrace
诱饵	bait	lure
活动	event	movement	action	activity
面具	mask
一月	January
[乐]变调	transition
重音	stress	accent
潜力	potential
主餐	dinner
猎狗	hound
活力	bounce	dynamic	energy	pulse	sparkle	tuck	zip
蜡烛状物	candle
铁路公司	railroad
差距	remove
马戏团	circus	tan
以便征税）	appraisal
雨点般降落的东西	rain
四个一组之物	four
小山羊	kid
抵押单据	mortgage
[军]骑兵连	troop
残杀	massacre
头饰	tire
上端	head
增殖体	vegetation
老顽固	beast	fossil
牌子	brand
新闻报道	press
过多	overflow
雷达装置	radar
修剪	clip	trim
沉默	silence
有毒气体	damp
推翻	overthrow	overturn
松鼠毛皮	squirrel
走廊	corridor	hall	porch	gallery
纺织业	textile
过失	blame	debt	error	guilt	mistake	stumble	trip	wrong
热情	enthusiasm	fire	flame	passion	warmth	zeal
宴请	banquet
关税	custom	tariff
（名誉等的）污点	cloud
相等	equation
肌肉	muscle
亲爱的人	dear
征收	collection
家庭日用织品	linen
（土地的）一块	parcel
处女	maid	maiden	virgin
对白	dialog
剂量	dose
黑手党	mob
霉臭	must
寄物柜	locker
（维持、增加感情的）刺激物	fuel
（某些棋盘游戏的）筹码	counter
一大笔钱	bundle
专利品	monopoly	patent
反对	but	objection	protest	exception	exception
笔记	note
现代人	modern
助理	assistant
瞌睡	doze
班轮	liner
（工具等的）把	hand
花蜜	honey
女名家	princess
物理成分	physics
