abdomen	n.腹，下腹(胸部到腿部的部分)
cottage	n.村舍,小屋,别墅
cotton	n.棉花;棉线,棉纱;棉制品
cough	v./n.咳嗽
course	n.课程,教程;过程,进程;路程,路线;一道菜
courtesy	n.谦恭有礼;有礼貌的举止(或言词)
cousin	n.堂(或表)兄弟,堂(或表)姐妹
cow	n.母牛,奶牛
crab	n.螃蟹,蟹肉
cradle	n.摇篮;发源地
crane	n.起重机,鹤
crawl	v./n.爬行,蠕动;缓慢(的)行进
credential	n.凭证，(pl.)国书，证明书
crew	n.全体船员,全体乘务员
cricket	n.板球;蟋蟀
cripple	n.跛子,残疾人 v.使跛,使残疾
crisp	a.脆的,易碎的;简明扼要的；（空气）清爽的
crude	a.天然的,未加工的;未熟的;粗鲁的,粗野的
cruel	a.残忍的,残酷的
cruise	v.巡航；以节省燃料的速度前进 n.乘船巡游
crush	n./v.压碎,压坏 v.压服,压垮
crust	n.外皮,壳;地壳
cucumber	n.黄瓜
cue	暗示, 提示, 球杆
cunning	a./n.狡猾(的),狡诈(的)
curb	n.路边，场外证券市场，vt.制止，抑制
cure	v.(of)治愈,医治;矫正 n.治愈,痊愈;良药
curl	v.(使)卷曲,蜷缩 n.卷发;卷曲状;卷曲物
curriculum	n.(pl.curricula)课程,(学校等的)全部课程
curse	n.诅咒,咒语,祸因 vt.诅咒,咒骂,使受罪
curtain	n.窗帘,门帘;幕(布);结束； vt遮掩
curve	n.曲线,弯曲(物) v.弄弯,成曲形
cushion	n.垫子,软垫 vt.装垫子;缓和,减轻;
cyberspace	n.虚拟信息空间;网络空间
dairy	n.牛奶场,奶店
damn	int.该死 vt.遣责；使失败 a.十足的 ad.极
damp	n.潮湿 a.潮湿的 vt.使潮湿;使衰减
danger	n.危险;威胁;危险事物
darling	n.心爱的人,亲爱的
dash	v./n.冲,猛冲,突进 n.破折号
deaf	a.聋的;不愿听的
dean	n.(大学)院长;主持牧师; (基督教)教长
decay	v./n.腐朽,腐烂;衰减,衰退
deceit	n.欺骗,欺骗行为
decrease	n.减少,减小;减少量 v.减少,变少,降低
deduce	vt.(from)演绎,推断,推论
deduct	vt.扣除;演绎(推理)
deed	n.行为,行动;功绩,事迹;证书；契据
deem	v.认为,相信
defeat	n.击败,战胜,失败 v.击败,战胜;使失败
defy	v.(公然)违抗,反抗;蔑视
deliberate	a.深思熟虑的,故意的 vt.研讨,商讨
delicate	a.纤弱的;精致的;微妙的;灵敏的
delight	n.快乐,高兴 v.(使)高兴,(使)欣喜
dental	a.牙齿的；牙科(用)的
dentist	n.牙医
deprive	vt.剥夺,夺去,使丧失
deputy	n.代理人,代表 a.副的,代理的
designate	v.指明,指出;任命,指派
desolate	a.荒凉的;孤独的 v.使荒芜
despair	n.绝望;失望;令人失望的人(事物)v.绝望
despatch	n./v.(dispatch)派遣;发送 n.急件;新闻报道
despise	v.轻视,蔑视
despite	prep.不管,不顾
dessert	n.正餐后的水果或甜食
detain	v.耽搁;扣押,拘留
detect	v.察觉,发觉,侦察,探测
deviate	v.(from)背离,偏离
devil	n.魔鬼
dew	n.露水
diagnose	vt.诊断(疾病)；判断(问题)
dial	n.钟(表)面,刻度盘,拨号盘 v.拨号,打电话
dialect	n.方言
diameter	n.直径
diary	n.日记,日记簿
dictate	v.口授;(使)听写;指令,指示,命令;
dictation	n.听写,口述;命令
diffuse	v.扩散;传播 a.(文章等)冗长的,漫无边际的
digest	vt.消化；领会，融会贯通 n.文摘，摘要
dignity	n.(举止,态度等的)庄严,端庄;尊贵,高贵
dilute	vt.稀释，冲淡 a.稀释的，冲淡的
dim	a.暗淡的,模糊的
diminish	v.缩小,减少,递减
dine	v.吃饭,进餐
dip	v./n.浸,蘸
diploma	n.毕业文凭,学位证书
diplomatic	a.外交的,从事外交的;策略的,有手腕的
dirt	n.污物,污垢
disc	n.(disk)圆盘,圆面,盘状物
discern	v.认出,发现;辨别,识别
discourse	n.论文;演说;谈话;话语 vi.讲述,著述
discreet	a.(言行)谨慎的；慎重的；有判断力的
discrepancy	n.相差;差异;矛盾;
disease	n.疾病
disgrace	n.失宠,耻辱 v.使失宠;玷辱,使蒙羞
disguise	n./v.假装,伪装
disgust	n.厌恶,恶心 v.使厌恶
dismay	n./v.(使)沮丧;(使)惊慌;(使)失望,(使)绝望
disperse	v.(使)分散;(使)散开;疏散
disposal	n.处理,处置;布置,安排
dispose	v.(of)处理,处置;(for)布置,安排
disposition	n.排列,部署;性格倾向;倾向,意向
disrupt	vt.使混乱，使崩溃，使分裂，使瓦解
dissipate	v.驱散;(使云、雾、疑虑等)消散;挥霍
dissolve	v.(使)溶解,(使)融化;解散,取消
distant	a.远的;遥远的;疏远的;不亲近的
distill	vt.蒸馏，用蒸馏法提取；吸取，提炼
distract	v.分散;使分心;打扰;使心情烦乱
distress	n.苦恼;危难;不幸 v.使苦恼
district	n.地区,行政区;美国各州的众议院选区
ditch	n.沟,沟渠,水沟
divert	vt.使转向，使改道；转移(注意力)；使娱乐
divine	a.神的，神授的，天赐的；极好的，极美的
dizzy	a.头晕目眩的,眩晕的;(可能)使人头晕的
dock	n.船坞,码头
doctorate	n.博士学位;博士头衔
doll	n.玩偶,玩具娃娃
donate	vt.损赠(金钱等);赠予
donkey	n.驴子；蠢人；顽固的人
doom	n.厄运,劫数 v.注定,命定
doorway	n.门口
dorm	n.(dormitory)［美］［口］宿舍
dose	n.剂量,一服,一剂 v.(给…)服药
dove	n.鸽子
drain	n.排水沟,阴沟;消耗,负担 v.排去,放干
drastic	a.激烈的,严厉的;(药性等)猛烈的
dread	v./n.恐惧,担心
dress	n.服装,童装,女装 v.穿衣,打扮
drill	v.练习;操练;钻孔 n.操练;练习;钻孔(机)
drip	v.滴下,漏水 n.滴,水滴,点滴
drought	n.旱灾,干旱
drown	v.溺死,淹没
drum	n.鼓;圆桶
duck	n.鸭,鸭肉 v.迅速俯身;快速低头;躲避
dull	a.单调的;迟钝的,愚笨的;不锋利的
dumb	a.哑的,无言的
dusk	n.薄暮,黄昏
dust	n.灰尘,尘土 v.拂,掸
dwarf	n.矮子，侏儒，矮小的动植物 vt.使…矮小
dye	n.染料 v.染,染色
dynasty	n.王朝,朝代
eagle	n.鹰
ebb	vi.衰退，减退 n.处于低潮，处于衰退状态
ego	n.自我，自负，利已主义；(心理学)自我意识
endurance	n.忍耐(力),持久(力),耐久(性)
enquire	v.(inquire)询问,打听;调查;查问
enroll	v.(enrol)招收;登记;入学;参军;成为会员
entail	vt.使承担;需要;把(疾病等)遗传给;限定
entrepreneur	n.[法]企业家, 主办人
entry	n.进入,入口;通道;记载,条目
epoch	n.新纪元;时代;时期;【地质】世,纪,期
era	n.时代,年代,阶段,纪元
erosion	n.腐蚀,磨损;削弱,减少
erroneous	a.错误的,不正确的
erupt	v.(尤指火山)爆发
escalate	v.(使)逐步增长(或发展)，(使)逐步升级
esteem	n.尊敬，尊重 vt.尊重，敬重；把…看作
eternal	n.永久的,永恒的
evacuate	vt.撤离，疏散，排泄，剥夺
evade	vt.逃避，回避；避开，躲避
evaporate	v.蒸发,挥发;沉淀;发射;消失
exaggerate	v.夸大,夸张
excursion	n.短途旅行,游览;离题;[物理]偏移,漂移
exemplify	v.举例证明;示范;作...的范例[榜样]
exempt	a.免除的 v.免除 n.免税者;被免除义务者
exert	v.尽(力),施加(压力等),努力
exile	n.流放；被流放者 vt.流放，放逐，把…充军
expedition	n.远征(队),探险(队)
expel	v.把…开除;驱逐;排出;发射
explode	v.(使)爆炸,(使)爆发
exploit	v.开拓;开发;剥削 n.功绩[勋];业绩
expose	v.(to)使暴露,受到;使曝光
exposure	n.暴露,揭露;方向;陈列;遗弃;照射量
exquisite	a.优美的，高雅的，精致的；剧烈的，异常的
exterior	a.外部的,外面的 n.外部
fable	n.寓言
faint	a.微弱的;不明显的;暗淡的 n./v.昏倒;昏晕
faith	n.信任,信用;信仰,信条
faithful	a.守信的,忠实的,如实的,可靠的
fame	n.名声;名望;传说 vt使出名;传扬…的名
fantasy	n.幻想，空想；空想的产物，幻想作品
fare	n.车费,船费;伙食;乘客 v.过活;进展;经营
fascinate	v.迷住,强烈吸引
fatigue	n./v.(使)疲劳
faulty	a.有错误的，有缺点的，不完善的
feast	n.节日;宴会
feeble	a.虚弱的,无力的
feed	v.(on,with)喂养,饲养;(with)向…供给
fellow	n.人,家伙;伙伴,同事 a.同样的,同事的
feminine	a.女性的;娇柔的
ferry	n.摆渡;渡船;渡口v.摆渡;渡运(人,车或物等)
feudal	a.封建的;封地的;领地的
fever	n.发热,狂热
fiction	n.虚构,编造;小说
finger	n.手指;指状物;指针
fire	n.火；火灾，失火；炉火 vi.开火 vt.放(枪)
fireplace	n.壁炉
fist	n.拳头 vt.用拳头打；紧握
flame	n.火焰,火苗;热情;光辉 v.发火焰,燃烧
flap	n.垂下物,帽沿,袋盖 n./v.拍打,拍动
flare	v./n.闪耀,闪烁
flash	n./a.闪光(的) v.发闪光,闪亮;闪现
flavor	n.(flavour)情味;风味;滋味 v.给…调味
flaw	n.裂缝;缺陷 v.使破裂;使有缺陷
flee	v.逃走;逃避
fleet	n.舰队,船队
flesh	n.肉,肌肉
flight	n.飞翔,飞行;航班;航程;逃跑;楼梯的一段
fling	v.(用力地)扔,抛,丢
flock	n.(一)群,(禽,畜等的)群;大量 v.群集,成群
flow	v.流,流动 n.流量,流速
flu	n.(influenza)流行性感冒
foam	v./n.泡沫,起泡沫
fog	n.雾气，雾 v.以雾笼罩，被雾笼罩
fond	a.(of)喜爱的,爱好的
footstep	n.脚步(声),足迹
fore	ad.在前面 a.先前的；在前部的 n.前部
forecast	v./n.预测,预报
forehead	n.前额;(任何事物的)前部
foremost	a.最先的;最初的; 主要的 ad.首要地
foresee	v.预见,预知
forge	v.锻造,伪造 n.锻工车间;锻炉
formation	n.形成;构成;组织;构造;编制;塑造
formidable	a.强大的;令人敬畏的;可怕的;艰难的
forth	ad.向前；向外，往外
forthcoming	a.即将到来的;准备好的;乐意帮助的;n.来临
fortnight	n.两星期
fortunate	a.幸运的,侥幸的
forty	num./a.四十 pron.四十(个，只...)
forum	n.论坛,讨论会
fossil	n.化石
foster	vt.养育;收养;怀抱;鼓励 a.收养的 n.养育者
foul	a.污秽的;邪恶的 v.弄脏;妨害;犯规 n.犯规
fountain	n.泉水,喷泉,源泉
fraction	n.碎片,小部分,一点儿;分数
fracture	n.裂缝(痕);骨折 v.(使)断裂,(使)折断
fragile	a.易碎的，脆的，易损坏的；虚弱的，脆弱的
fragrant	a.香的;芬芳的
fraud	n.欺诈，诈骗；欺骗(行为)；骗子；假货
freight	n.货物,货运,运费
friction	n.磨擦,摩擦力
fridge	n.(refrigerator的略语)冰箱
fright	n.恐怖
frighten	v.使惊恐
fringe	n.边缘；(窗帘)缘饰；额前垂发 vt.饰…的边
frost	n.霜,霜冻,严寒
frustrate	vt.挫败,阻挠,使灰心
fume	n.(浓烈或难闻的）烟，气，汽
funeral	n.丧葬,葬礼
fur	n.毛,毛皮
furious	a.狂怒的,狂暴的,猛烈的
furnace	n.炉子,熔炉
furnish	v.供应,提供;装备,布置
furniture	n.家具
further	ad./a.更远,更往前;进一步 v.促进,增进
fuse	n.保险丝,导火线,引信 v.熔化,熔合
fuss	n./v.忙乱,大惊小怪
futile	a.无效的，无用的，无希望的
gallery	n.长廊,画廊,美术馆
gallon	n.加仑
gallop	v./n.奔驰,飞奔
gang	n.一帮,一群,一伙
gaol	n.(jail)监狱；(不加冠词)监禁 vt.使…坐牢
garage	n.车库,飞机库;修车厂
garlic	n.蒜，大蒜粉
garment	n.(一件)衣服
gentle	a.和蔼的,文雅的,有礼貌的
gently	ad.文雅地,有礼貌地;轻轻地
glimpse	n./v.一瞥,瞥见
goat	n.山羊
goodby	int.(goodbye)再见
goose	n.(pl.geese)鹅,雌鹅,鹅肉
gown	n.长袍，特殊场合穿的长服
grace	n.优美,文雅;恩惠,恩泽;宽限,缓刑;感恩祷告
graceful	a.优美的,文雅的,大方的
gracious	a.亲切的,客气的;宽厚的,仁慈的
grade	n.等级,级别;年级;分数 v.分等,分级
grain	n.谷物,谷类;颗粒,细粒
gramme	n.(gram)克
grammar	n.语法,语法书
gratitude	n.感激,感谢
graze	vi.吃青草 vt.放牧;擦伤;掠过 .n.擦伤(处)
greet	v.致敬,敬意,迎接;扑(鼻),入(耳),触(目)
greeting	n.问候,致敬
grey	n./a.(gray)灰色(的)
grim	a.严酷的，令人害怕的；不愉快的，讨厌的
grin	n./vi.露齿而笑，咧嘴一笑
grip	v./n.紧握,抓紧;掌握
grope	n./v.摸索,探索
gut	n.[pl.]胆量；内脏a.本能的vt.取出内脏
gymnasium	n.(gym)体育馆，健身房
hail	v.下雹;欢呼,欢迎 n.雹
hall	n.礼堂,会堂,办公大楼,门厅
halt	n.止步,停步,停止前进 v.止步,(使)停止
ham	n.火腿
hammer	n.铁锤,槌,榔头 v.锤击,敲打
hamper	v.妨碍,阻碍,牵制
handicap	v.妨碍 n.(身体或智力方面的)缺陷;不利条件
handkerchief	n.手帕
handy	a.手边的,近便的;方便的
harassment	n.骚扰，扰乱；烦恼，烦乱
harbor	n.(harbour)海港;避难所 v.隐匿,窝藏
harmony	n.协调,和谐;融洽
harsh	a.粗糙的；(声音)刺耳的；苛刻的，严酷的
hatch	v.孵,孵出;策划,图谋 n.舱口,小门
hatred	n.憎恨,憎恶,怨恨
hawk	n.鹰,隼
hay	n.干草
hazard	n.危险,冒险,危害 v.冒险,拼命
headmaster	n.校长
headquarters	n.司令部,指挥部;总部,总局
heal	v.治愈,愈合
heave	v.(用力)举，提，拉；扔；拖；呕吐n.举起
heaven	n.天,天空,天堂;(Heaven)上帝,神
hedge	n.篱笆,树篱,障碍物 v.用树篱围住
heel	n.脚后跟,踵,鞋跟
heir	n.继承人
helmet	n.头盔,钢盔
hemisphere	n.半球
hence	ad.从此,今后;因此
henceforth	ad.今后
herb	n.药草，(调味用的)香草，草本植物
herd	n.群,兽群,牛群 v.放牧,群集
heritage	n.遗产,继承物;传统
heroin	n.海洛因
heroine	n.女英雄;女主角
hesitate	v.犹豫,踌躇;含糊,支吾
hijack	v.劫持，劫机，拦路抢劫
hike	n.徒步旅行；增加vi.徒步旅行vt.提高
hinder	v.(from)阻止,妨碍 a.后面的
hinge	n.合页,铰链 vi.依…而定
hobby	n.业余爱好,嗜好,兴趣
hoist	v.举起,升起,吊起
hop	v.人单足跳;跳上(车等) n.蹦跳;短程飞行
horror	n.恐怖,战栗
hose	n.水龙带,软管 v.用软管(淋浇,冲洗)
hostage	n.人质
hostile	a.敌对的,敌方的,敌意的
hound	n.猎狗；卑鄙的人 vt.用猎狗追，追逐
housing	n.住房，住房供给；(外、阀)壳，防护罩
hover	vi.(鸟)盘旋，翱翔，(人)逗留在附近徘徊
howl	n.怒吼，嗥叫 vi.(风等)怒吼，咆哮
huddle	n./v.拥挤;聚集v.(因寒冷、害怕而)缩成一团
hug	v./n.热烈拥抱,紧抱
hum	v.哼曲子；发嗡嗡声；忙碌n.嗡嗡声，嘈杂声
humble	a.谦卑的,恭顺的;地位低下的 v.降低,贬低
humid	a.湿的,湿气重的
humidity	n.湿气,湿度
humiliate	v.使羞辱，使丢脸[同]disgrace
humorous	a.富于幽默感的，幽默的；滑稽的
hundred	num.百，一百；[pl.]许多 a.一百的；许多
hunt	v./n.打猎,猎取;(for)搜索;寻找
hurl	vt.猛投，力掷；大声叫骂
hut	n.小屋,棚屋
hypocrisy	n.伪善，虚伪
ignite	v.点火,引燃
illiterate	a.文盲的,未受教育的
illuminate	vt.照亮，照明；用灯光装饰；说明，阐释
immense	a.广大的,巨大的;[口]极好的
immerse	v.使沉浸在;使浸没
immigrant	a.(从国外)移来的,移民的 n.移民,侨民
immune	a.免疫的,有免疫力的;有受影响的;豁免的
impact	n.冲击,碰撞;影响 v.影响;挤入,压紧
impair	v.损害,损伤;削弱,减少
impart	vt.传授，给予；告知，通知
impetus	n.推动(力),促进
implication	n.含意，暗示，暗指；牵连
improve	v.改善,改进,增进;好转,进步
improvement	n.改进,进步,增进;改进措施
impulse	v.推动 n.推动;冲动,刺激
incentive	n.刺激;动力;鼓励;诱因;动机
incline	v.(使)倾斜;(使)倾向于 n.斜坡,斜面
incur	v.招致,惹起,遭受
indifferent	a.冷漠的,不关心的,不积极的
indignant	a.愤慨的,愤慨不平的
indignation	n.愤怒,愤慨
indispensable	a.(to,for)必不可少的,必需的
indoor	a.室内的,户内的
induce	v.引诱,劝使;引起,导致;感应
indulge	v.放任，纵容，沉溺；使(自己)纵情享受
inertia	n.不活动,惰性;惯性
inevitable	a.不可避免的,必然发生的
infant	n.婴儿,幼儿
infect	vt.传染，感染；影响(思想等)
infectious	a.传染的,传染性的,有感染力的
infer	v.推论,推断
inferior	a.下等的,下级的;劣等的,差的 n.下级,晚辈
ingenious	a.机敏的;有独创性的;精致的;精巧制成的
inhabit	vt.居住于,存在于;栖息于
inhabitant	n.居民,住户
